Order_ID,Order_Date,Customer_ID,City,Order_Value,Category_Count,Row_Count,Category
ORD100002,2025-02-25,CUST5529,Bengaluru,19808.39,1,1,Grocery
ORD100003,2025-10-14,CUST3127,Bengaluru,139530.8,1,1,Education
ORD100004,2025-05-13,CUST8887,Bengaluru,299928.48,1,1,Education
ORD100005,2025-12-02,CUST2515,Kolkata,256872.24,1,1,Electronics
ORD100006,2025-11-20,CUST4796,Bengaluru,140365.9,1,1,Grocery
ORD100007,2025-12-31,CUST3952,Hyderabad,323527.23,1,1,Electronics
ORD100008,2025-10-14,CUST1758,Patna,299985.18,1,1,Electronics
ORD100009,2025-12-05,CUST9622,Kolkata,28466.49,1,1,Electronics
ORD100010,2025-11-21,CUST9770,Mumbai,116929.38,1,1,Education
ORD100011,2025-04-16,CUST1312,Kolkata,144194.72,1,1,Electronics
ORD100012,2025-05-05,CUST9642,Delhi,42454.26,1,1,Fashion
ORD100013,2025-05-02,CUST3228,Patna,283052.58,1,1,Furniture
ORD100014,2025-05-06,CUST1038,Patna,37068.4,1,1,Grocery
ORD100015,2025-04-24,CUST6413,Patna,96340.16,1,1,Fashion
ORD100016,2025-03-12,CUST8660,Patna,203722.48,1,1,Electronics
ORD100017,2025-08-30,CUST9307,Delhi,201110.9,1,1,Fashion
ORD100018,2025-11-30,CUST4363,Delhi,401091.2,1,1,Education
ORD100019,2025-10-19,CUST3508,Gaya,7280.64,1,1,Fashion
ORD100020,2025-07-24,CUST5806,Mumbai,30612.95,1,1,Furniture
ORD100021,2025-03-20,CUST6504,Kolkata,190162.88,1,1,Electronics
ORD100022,2025-03-18,CUST8908,Pune,2344.98,1,1,Fashion
ORD100023,2025-10-04,CUST2903,Mumbai,107774.59,1,1,Education
ORD100024,2025-11-23,CUST1406,Gaya,315765.0,1,1,Fashion
ORD100025,2025-09-14,CUST8036,Patna,22254.12,1,1,Electronics
ORD100026,2025-03-16,CUST6532,Pune,252489.02,1,1,Grocery
ORD100027,2025-04-10,CUST2482,Mumbai,354730.14,1,1,Education
ORD100028,2025-08-01,CUST2003,Mumbai,47674.82,1,1,Grocery
ORD100029,2025-08-10,CUST6149,Patna,72673.95,1,1,Electronics
ORD100030,2025-02-05,CUST3688,Bengaluru,213936.9,1,1,Electronics
ORD100031,2025-08-09,CUST3212,Gaya,42764.32,1,1,Grocery
ORD100032,2025-05-13,CUST5063,Mumbai,15831.03,1,1,Electronics
ORD100033,2025-10-22,CUST9565,Mumbai,174333.28,1,1,Education
ORD100034,2025-12-04,CUST9325,Mumbai,87780.4,1,1,Electronics
ORD100035,2025-05-03,CUST4002,Gaya,234114.2,1,1,Electronics
ORD100036,2025-03-08,CUST8975,Gaya,191586.8,1,1,Electronics
ORD100037,2025-02-07,CUST2669,Bengaluru,359291.92,1,1,Electronics
ORD100038,2025-02-20,CUST5869,Delhi,285227.53,1,1,Furniture
ORD100039,2025-10-20,CUST7249,Kolkata,19176.32,1,1,Grocery
ORD100040,2025-03-07,CUST7465,Bengaluru,234167.84,1,1,Fashion
ORD100041,2025-04-21,CUST7988,Mumbai,3992.85,1,1,Fashion
ORD100042,2025-05-31,CUST9953,Hyderabad,221829.7,1,1,Electronics
ORD100043,2025-04-20,CUST6938,Kolkata,119662.88,1,1,Electronics
ORD100044,2025-09-22,CUST3006,Patna,99128.64,1,1,Furniture
ORD100045,2025-07-04,CUST5151,Bengaluru,86394.66,1,1,Grocery
ORD100046,2025-04-26,CUST5903,Hyderabad,13424.67,1,1,Fashion
ORD100047,2025-05-11,CUST4943,Mumbai,12420.48,1,1,Grocery
ORD100048,2025-09-02,CUST4750,Delhi,95299.22,1,1,Electronics
ORD100049,2025-10-25,CUST2705,Kolkata,124270.25,1,1,Electronics
ORD100050,2025-01-22,CUST5523,Pune,1431628.23,4,8,Furniture
ORD100051,2025-02-27,CUST1557,Mumbai,123371.82,1,1,Furniture
ORD100052,2025-09-09,CUST2062,Patna,493677.5,1,1,Education
ORD100053,2025-06-08,CUST9203,Delhi,27936.6,1,1,Electronics
ORD100054,2025-07-07,CUST8053,Delhi,296420.74,1,1,Grocery
ORD100055,2025-04-16,CUST1017,Pune,264230.68,1,1,Fashion
ORD100056,2025-11-16,CUST2690,Delhi,66608.34,1,1,Education
ORD100057,2025-12-07,CUST2791,Bengaluru,246944.64,1,1,Electronics
ORD100058,2025-03-12,CUST4496,Bengaluru,333687.41,1,1,Furniture
ORD100059,2025-12-12,CUST8811,Bengaluru,44708.5,1,1,Furniture
ORD100060,2025-01-15,CUST2411,Mumbai,184045.4,1,1,Electronics
ORD100061,2025-11-08,CUST2350,Pune,101171.88,1,1,Electronics
ORD100062,2025-07-06,CUST9745,Mumbai,29263.26,1,1,Fashion
ORD100063,2025-07-15,CUST6236,Kolkata,17039.73,1,1,Electronics
ORD100064,2025-09-26,CUST1887,Hyderabad,277415.76,1,1,Furniture
ORD100065,2025-05-16,CUST5386,Gaya,244476.54,1,1,Grocery
ORD100066,2025-07-25,CUST8065,Kolkata,89054.9,1,1,Electronics
ORD100067,2025-01-30,CUST8841,Patna,174065.2,1,1,Education
ORD100068,2025-02-25,CUST5871,Delhi,136832.9,1,1,Furniture
ORD100069,2025-06-24,CUST9869,Hyderabad,206413.15,1,1,Education
ORD100070,2025-08-15,CUST9017,Delhi,109163.28,1,1,Education
ORD100071,2025-10-21,CUST1808,Patna,218701.12,1,1,Furniture
ORD100072,2025-08-25,CUST2565,Hyderabad,146098.6,1,1,Fashion
ORD100073,2025-06-19,CUST4958,Gaya,25717.95,1,1,Grocery
ORD100074,2025-12-04,CUST7587,Pune,408776.58,1,1,Electronics
ORD100076,2025-12-30,CUST8430,Gaya,17766.9,1,1,Electronics
ORD100077,2025-12-27,CUST1956,Bengaluru,110614.05,1,1,Fashion
ORD100078,2025-04-14,CUST9846,Patna,64707.84,1,1,Education
ORD100079,2026-01-01,CUST4706,Delhi,35862.34,1,1,Grocery
ORD100080,2025-08-21,CUST5607,Gaya,13129.64,1,1,Grocery
ORD100081,2025-03-05,CUST8211,Gaya,411726.33,1,1,Furniture
ORD100082,2025-09-01,CUST5367,Hyderabad,35099.34,1,1,Education
